film_id,film,mentions,list_2020,list_2021,list_2022,year,length,mpaa,imdb_categories,imdb_ratings,imdb_stars,imdb_pct10,dr_love,imdb_link,new,,44
15,Black Panther,1,1,0,0,2018,134,PG-13,"Action, Adventure, Sci-Fi",673885,7.3,14.6,Yes,https://www.imdb.com/title/tt1825683/,0,,
16,Black Swan,1,1,0,0,2010,108,R,"Drama, Thriller",722654,8.0,15.5,No,https://www.imdb.com/title/tt0947798/,0,,
17,Blue Velvet,1,0,1,0,1986,120,R,"Drama, Mystery, Thriller",188756,7.7,16,Yes,https://www.imdb.com/title/tt0090756/,0,,
18,The Breakfast Club,1,0,0,1,1985,97,R,"Comedy, Drama",394321,7.8,17.3,Yes,https://www.imdb.com/title/tt0088847,1,,
19,Capharnaum,1,0,1,0,2018,126,R,Drama,74475,8.4,25.4,No,https://www.imdb.com/title/tt8267604/,0,,
20,Captain Marvel,1,0,0,1,2019,123,PG-13,"Action, Adventure, Sci-Fi",549992,6.8,9.4,Yes,https://www.imdb.com/title/tt4154664,1,,
21,Casablanca,1,0,1,0,1942,102,PG,"Drama, Romance, War",541788,8.5,29.9,Yes,https://www.imdb.com/title/tt0034583/,0,,
22,Castle in the Sky,1,1,0,0,1986,125,PG,"Animation, Adventure, Drama",157056,8.0,17.4,No,https://www.imdb.com/title/tt0092067/,0,,
23,Cloud Atlas,1,0,1,0,2012,172,R,"Action, Drama, Mystery",351370,7.4,15.9,No,https://www.imdb.com/title/tt1371111/,0,,
24,Clueless,1,0,0,1,1995,97,PG-13,"Comedy, Romance",215101,6.9,11.6,No,https://www.imdb.com/title/tt0112697,1,,
25,Coming To America,1,1,0,0,1988,116,R,"Comedy, Romance",198454,7.1,10.1,Yes,https://www.imdb.com/title/tt0094898/,0,,
26,The Dark Knight,3,1,1,1,2008,152,PG-13,"Action, Crime, Drama",2412730,9.0,45,Yes,https://www.imdb.com/title/tt0468569/,0,,
27,The Dark Knight Rises,2,1,1,0,2012,164,PG-13,"Action, Adventure",1574645,8.4,28.1,Yes,https://www.imdb.com/title/tt1345836/,0,,
28,The Departed,1,0,1,0,2006,151,R,"Crime, Drama, Thriller",1237811,8.5,22.8,Yes,https://www.imdb.com/title/tt0407887/,0,,
29,Despicable Me,1,0,1,0,2010,95,PG,"Animation, Adventure, Comedy",516295,7.6,12.4,Yes,https://www.imdb.com/title/tt1323594/,0,,
30,Dilwale Dulhania Le Jayenge,1,0,0,1,1995,181,NR,"Drama, Romance",69364,8.0,42.6,No,https://www.imdb.com/title/tt0112870,1,,
31,Doctor Zhivago,1,0,1,0,1965,197,PG-13,"Drama, Romance, War",72627,8.0,20.9,No,https://www.imdb.com/title/tt0059113/,0,,
32,Elf,1,0,0,1,2003,97,PG,"Adventure, Comedy, Family",264300,7.0,13,Yes,https://www.imdb.com/title/tt0319343/,1,,
33,Eternal Sunshine of the Spotless Mind,1,1,0,0,2004,108,R,"Drama, Romance, Sci-Fi",946429,8.3,23.6,No,https://www.imdb.com/title/tt0338013/,0,,
34,Eurovision Song Contest: The Story of Fire Saga,2,1,1,0,2020,123,PG-13,"Comedy, Music",85459,6.5,9.3,Yes,https://www.imdb.com/title/tt8580274/,0,,
35,Everybody Wants Some!!,1,1,0,0,2016,117,R,Comedy,53608,6.9,6.5,No,https://www.imdb.com/title/tt2937696/,0,,
36,"Everything, Everywhere, All at Once",1,0,0,1,2022,139,R,"Action, Adventure, Comedy",193782,8.2,29.5,No,https://www.imdb.com/title/tt6710474,1,,
37,Face/Off,1,1,0,0,1997,138,R,"Action, Crime, Sci-Fi",359821,7.2,8.8,Yes,https://www.imdb.com/title/tt0119094/,0,,
38,Farewell My Concubine: the Beijing Opera,1,1,0,0,2014,97,NR,Musical,9,5.9,11.1,No,https://www.imdb.com/title/tt7435474/,0,,
39,A Fistful of Dollars,1,0,1,0,1964,99,R,"Action, Drama, Western",206142,8.0,13.3,No,https://www.imdb.com/title/tt0058461/,0,,
